"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","7.5","","","","2.2","","4.3","5.3","4.1","2","6","5","3","4.9","3.9","3.9","2","3.9","5.8","1.9","","","","","",
"Afganistán","AFG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3.4","4.1","6.3","","","10","6.6","7.1","","",
"Angola","AGO","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","4.8","","","","","","","",
"Albania","ALB","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","6","3.6","8.3","8.8","43.1","21.3","17.1","4.2","7","6.9","5.3","4.2","5","3.1","3.5","3.1","2.9","4.3","4.9","5.4","4.2","4","2.8","3.4","2.3","","",
"Andorra","AND","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","0","1.2","0","0","1.2","0","0","0","0","","","","",
"El mundo árabe","ARB","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","0.7","1.2","0.7","","","","0.8","0.6","0.8","0.6","0.7","0.7","0.7","0.5","","",
"Argentina","ARG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","6.5","6","5.1","","",
"Armenia","ARM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5.3","8.9","8","4.8","3.6","3.6","3.2","3","2.9","3","2.9","2.3","2.5","2.8","1.9","2.7","2.6","3.3","3.4","1.9","2.5","2.3","2.2","2.5","2.6","3","2.4","","",
"Samoa Americana","ASM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","11.9","5.1","6.7","10.1","6.8","1.7","5.3","3.6","9","9","3.6","5.4","5.4","7.2","5.4","","","",
"Antigua y Barbuda","ATG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","4.5","2.9","5.7","7","9.5","4","1.3","","","6","8.2","5.8","5.7","4.5","3.4","12.2","18.6","17.3","17.1","6.3","","10.3","","","","","","","",
"Australia","AUS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2","1.7","1.9","1.8","2","1.9","2","1.8","2","1.9","1.8","1.9","1.5","1.3","1.3","1.4","1.2","1.2","1.2","1","1.1","1.1","1.1","1","1","0.9","0.8","","",
"Austria","AUT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","1.3","1.2","1","1.1","1","1.2","0.8","1","0.7","1","0.9","0.8","0.6","0.7","0.7","0.7","0.5","0.7","0.6","0.7","0.9","0.9","0.7","0.5","0.5","0.7","","","",
"Azerbaiyán","AZE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.9","7.5","6.3","6.5","5.7","5.1","3.6","3.5","3","2.8","2.7","2.6","2.2","2.4","2.2","2.2","2.2","2.2","","2.3","","2.2","2.4","2.5","2.3","2.1","2","","",
"Burundi","BDI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","4.4","4","3.9","5.4","5.4","5.7","4.5","6","","","",
"Bélgica","BEL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1.2","1.4","1.2","1.4","1.2","1.4","","","2.1","2.7","3.1","2.2","2.6","2.1","2.1","2","1.9","1.7","1.7","1.9","1.8","1.8","1.9","2","1.5","1.7","","",
"Benin","BEN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","",
"Burkina Faso","BFA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.6","0.6","0.5","0.5","0.7","1","0.9","0.8","0.6","0.7","0.7","0.7","0.6","1.1","1.3","","",
"Bangladesh","BGD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.7","2.6","2.5","2.8","2.5","2.9","2.6","2.8","2.8","2.6","2.6","2.6","2.8","2.8","2.5","2.2","2.2","","",
"Bulgaria","BGR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","4.3","5.3","5.7","5.8","5.9","5.3","4.8","4.7","4.1","4.2","3.9","3.2","3.2","3.2","2.6","2.4","2.3","2.3","2","2","1.7","1.9","1.5","1.6","1.8","1.1","1.5","","",
"Bahrein","BHR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.4","1","","","","1.3","1.1","0.4","0.8","0.4","0.7","0.4","0.5","1.1","0.9","0.5","0.3","0.4","0.5","","","","","",
"Bahamas","BHS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","10.7","15.4","12.9","18.8","14.3","18","16","","","24.8","14.2","16.8","15.8","13.6","15.8","18.2","22.8","20.9","24.5","26.1","34.6","29.8","31.5","32.4","37.7","28.4","30.9","","",
